Rank,Channel,Videos,Subscribers,Views
#58,Alan Walker,479,44.5M,13.28B
#59,BRIGHT SIDE,6.82K,44.5M,10.87B
#60,whinderssonnunes,660,44.4M,4.36B
#61,HolaSoyGerman.,136,43.6M,4.86B
#62,Speed Records,11.11K,43M,27.53B
#63,Ishtar Music,4.51K,42.9M,18.61B
#64,Kimberly Loaiza,305,42.9M,6.05B
#65,Like Nastya Show,651,42.6M,19.88B
#66,Rihanna,84,42.4M,23.14B
#67,Jess No Limit,2.56K,42.2M,5.24B
#68,Luisito Comunica,1.31K,41.4M,9.07B
#69,shfa2 - شفا,1.66K,41.1M,25.01B
#70,Little Baby Bum - Nursery Rhymes & Kids Songs,2.51K,40.9M,39.71B
#71,LUCCAS NETO - LUCCAS TOON,2.43K,40.7M,23.32B
#72,CarryMinati,189,40.6M,3.49B
#73,Super Simple Songs - Kids Songs,773,40.4M,47.3B
#74,elrubiusOMG,701,40.3M,7.42B
#75,Sony PAL,25.53K,40.2M,30.31B
#76,BETER BÖCÜK,3.38K,40.1M,23.88B
#77,MrBeast Gaming,141,39.9M,7.05B
#78,Ricis Official,3.36K,39.9M,6.74B
#79,WorkpointOfficial,75.7K,39.8M,36.9B
#80,Goldmines Gaane Sune Ansune,3.63K,39.8M,17.64B
#81,XXXTENTACION,135,39.6M,10.64B
#82,TEDx Talks,205.52K,39.6M,7.58B
#83,GR6 EXPLODE,3.16K,39.5M,26.19B
#84,shfa,1.04K,39.5M,22.58B
#85,ABP NEWS,330.5K,38.8M,14.21B
#86,ช่อง one31,126.25K,38.6M,26.24B
#87,One Direction,157,38.4M,13.77B
#88,YouTube,787,38.4M,3.39B
#89,Maria Clara & JP,766,38.3M,25.33B
#90,Daddy Yankee,524,38.3M,23.41B
#91,YOLO AVENTURAS,1.95K,38.3M,11.79B
#92,TheEllenShow,16.05K,38.2M,22.91B
#93,Saregama Music,8.07K,38M,17.49B
#94,PowerKids TV,6.85K,37.8M,19.92B
#95,Ultra Bollywood,9.48K,37.7M,15.99B
#96,T-Series Bollywood Classics,2.03K,37.4M,24.08B
#97,Jkk Entertainment,226,37.4M,16.6B
#98,La Granja de Zenón,678,37.3M,28.6B
#99,Bruno Mars,99,37.3M,20B
#100,IndiaTV,286.84K,37.3M,17.49B
#101,TheDonato,3.2K,37.1M,6.85B
#102,Maroon 5,173,36.8M,23.15B
#103,Techno Gamerz,991,36.8M,10.61B
#104,Total Gaming,1.26K,36.8M,5.84B
#105,Genevieve's Playhouse - Learning Videos for Kids,625,36.4M,27.02B
#106,Ozuna,205,36.4M,23.97B
#107,ZAMZAM ELECTRONICS TRADING,16.49K,36.3M,15.76B
#108,Fede Vigevani,1.16K,36.1M,10.05B
#109,StarPlus,62.58K,36M,33.31B
#110,Ryan's World,2.57K,35.8M,56.14B
#111,Markiplier,5.53K,35.8M,20.75B
#112,Jingle Toons,244,35.5M,11.91B
#113,T-Series Apna Punjab,7.96K,35.3M,22.16B
#114,DaFuq!?Boom!,258,34.7M,13.4B
